회사명	18_fscore	17_fscore
애경산업	4	4
덕산하이메탈	4	4
동서	4	4
링네트	4	4
포스코 ICT	4	4
한온시스템	4	4
DB	4	4
대원전선	4	4
인스코비	4	4
삼부토건	4	4
휴메딕스	4	4
로보티즈	4	4
녹십자	4	4
스카이문스테크놀로지	4	4
삼천당제약	4	4
동양이엔피	4	4
대림통상	4	4
파라다이스	4	4
한국전자금융	4	4
케이피엠테크	4	4
포스코인터내셔널	4	4
세진중공업	4	4
메타바이오메드	4	4
바이오리더스	4	4
씨트리	4	4
하이트론씨스템즈	4	4
메타랩스	4	4
에스엔피월드	4	4
남성	4	4
원익큐브	4	4
뉴프라이드	4	4
STX중공업	4	4
아시아경제	4	4
에스티오	4	4
디앤씨미디어	4	4
YW	4	4
엘오티베큠	4	4
제주항공	4	4
오디텍	4	4
삼화페인트공업	4	4
멀티캠퍼스	4	4
모토닉	4	4
세원셀론텍	4	4
코아스템	4	4
대양전기공업	4	4
알에프세미	4	4
참엔지니어링	4	4
LS전선아시아	4	4
바이온	4	4
LG화학	4	4
제이스텍	4	4
웰바이오텍	4	4
제로투세븐	4	4
현대자동차	4	4
나라엠앤디	4	4
와이지-원	4	4
수성	4	4
한국가구	4	4
화승알앤에이	4	4
대성엘텍	4	4
아비코전자	4	4
미래아이앤지	4	4
에이디테크놀로지	4	4
유니트론텍	4	4
코이즈	4	4
파멥신	4	4
카스	4	4
파버나인	4	4
베스파	4	4
다나와	4	4
블루콤	4	4
케이피티유	4	4
넷마블	4	4
우진비앤지	4	4
코스맥스비티아이	4	4
대창단조	4	4
누리플랜	4	4
에프티이앤이	4	4
보성파워텍	4	4
신흥	4	4
쏠리드	4	4
리더스코스메틱	4	4
동방아그로	4	4
태양금속공업	4	4
롯데케미칼	4	4
윙입푸드	4	4
동일기연	4	4
잉글우드랩	4	4
우노앤컴퍼니	4	4
코스모화학	4	4
동부제철	4	4
인터엠	4	4
도화엔지니어링	4	4
두산중공업	4	4
전방	4	4
대웅제약	4	4
코다코	4	4
대한항공	4	4
한세예스24홀딩스	4	4
엔케이	4	4
삼성출판사	4	4
인터파크홀딩스	4	4
에이프로젠제약	4	4
아트라스BX	4	4
원익	4	4
무림SP	4	4
버추얼텍	4	4
화신	4	4
진성티이씨	4	4
이테크건설	4	4
제이엔케이히터	4	4
이에스브이	4	4
유비쿼스홀딩스	4	4
셀트리온	4	4
삼양옵틱스	4	4
제이에스티나	4	4
에이티젠	4	4
유진로봇	4	4
동국산업	4	4
CSA 코스믹	4	4
일동홀딩스	4	4
THE MIDONG	4	4
노루홀딩스	4	4
바른테크놀로지	4	4
우진플라임	4	4
대교	4	4
아스트	4	4
하나투어	4	4
롯데쇼핑	4	4
서연이화	4	4
엔에스쇼핑	4	4
나노	4	4
쌍용자동차	4	4
아리온	4	4
지니뮤직	4	4
국보	4	4
세운메디칼	4	4
화승인더스트리	4	4
알티캐스트	4	4
듀오백	4	4
이노와이어리스	4	4
에스모	4	4
키이스트	4	4
잉크테크	4	4
제넨바이오	4	4
한국맥널티	4	4
엠에스씨	4	4
청호컴넷	4	4
농업회사법인아시아종묘	4	4
한미사이언스	4	4
대성파인텍	4	4
한미약품	4	4
동국제강	4	4
이마트	4	4
오픈베이스	4	4
휴온스글로벌	4	4
디오	4	4
디케이디앤아이	4	4
이수페타시스	4	4
제우스	4	4
동양물산기업	4	4
삼정펄프	4	4
세종메디칼	4	4
청담러닝	4	4
글로벌텍스프리	4	4
이엘피	4	4
코미코	4	4
정상제이엘에스	4	4
배럴	4	4
코아스	4	4
경동인베스트	4	4
헝셩그룹	4	4
오텍	4	4
백광소재	4	4
하이로닉	4	4
한국전력공사	4	4
에스마크	4	4
크리스탈신소재	4	4
제이에스코퍼레이션	4	4
옵트론텍	4	4
골든센츄리	4	4
유비벨록스	4	4
위메이드	4	4
대유위니아	4	4
GH신소재	4	4
한빛소프트	4	4
신라교역	4	4
큐로컴	4	4
나노신소재	4	4
풍강	4	4
인산가	4	4
포시에스	4	4
파워넷	3	3
팬엔터테인먼트	3	3
오리엔트바이오	3	3
메지온	3	3
한솔테크닉스	3	3
신원	3	3
썬텍	3	3
슈펙스비앤피	3	3
만호제강	3	3
삼본정밀전자	3	3
퓨쳐스트림네트웍스	3	3
스튜디오썸머	3	3
뉴트리바이오텍	3	3
유앤아이	3	3
삼영이엔씨	3	3
우리이티아이	3	3
일진파워	3	3
에프엔씨엔터	3	3
대유에이텍	3	3
신흥에스이씨	3	3
국도화학	3	3
효성화학	3	3
코스맥스	3	3
평화산업	3	3
토필드	3	3
덕우전자	3	3
광림	3	3
지엔코	3	3
평화홀딩스	3	3
유니온	3	3
상신전자	3	3
보령메디앙스	3	3
씨엠에스에듀	3	3
SK가스	3	3
리드	3	3
인바디	3	3
이스트아시아홀딩스	3	3
사조해표	3	3
효성오앤비	3	3
바른손	3	3
동원금속	3	3
황금에스티	3	3
웰크론한텍	3	3
인터로조	3	3
에스제이케이	3	3
에스티아이	3	3
이연제약	3	3
KMH	3	3
EDGC	3	3
이에스에이	3	3
주성엔지니어링	3	3
조이맥스	3	3
디에스티로봇	3	3
화승엔터프라이즈	3	3
제이웨이	3	3
에이씨티	3	3
앤씨앤	3	3
후성	3	3
BGF	3	3
인터지스	3	3
SK네트웍스	3	3
신스타임즈	3	3
삼우엠스	3	3
아진산업	3	3
에너전트	3	3
메디포스트	3	3
에스엠코어	3	3
에스에프씨	3	3
라온시큐어	3	3
금호에이치티	3	3
세미콘라이트	3	3
상지카일룸	3	3
TJ미디어	3	3
비에이치아이	3	3
데브시스터즈	3	3
지와이커머스	3	3
파인디지털	3	3
한라	3	3
미원홀딩스	3	3
텔루스	3	3
디아이티	3	3
케이맥	3	3
한솔씨앤피	3	3
SGA	3	3
녹십자엠에스	3	3
바이오니아	3	3
해덕파워웨이	3	3
엘브이엠씨	3	3
피앤텔	3	3
알테오젠	3	3
SK디스커버리	3	3
성창오토텍	3	3
씨에스윈드	3	3
아이씨케이	3	3
모비스	3	3
강스템바이오텍	3	3
진도	3	3
나무기술	3	3
SG&G	3	3
베셀	3	3
KH바텍	3	3
두산건설	3	3
카카오	3	3
우리조명	3	3
쎄트렉아이	3	3
톱텍	3	3
한세실업	3	3
GMR 머티리얼즈	3	3
아난티	3	3
나노메딕스	3	3
동아엘텍	3	3
한창	3	3
이엔에프테크놀로지	3	3
이스타코	3	3
아이디스	3	3
한라IMS	3	3
현대홈쇼핑	3	3
크루셜텍	3	3
모나미	3	3
오리엔트정공	3	3
디아이씨	3	3
한국카본	3	3
한국전자인증	3	3
디젠스	3	3
레드로버	3	3
S-Oil	3	3
아프리카TV	3	3
이상네트웍스	3	3
남화토건	3	3
스튜디오드래곤	3	3
에스와이패널	3	3
아세아시멘트	3	3
제이스테판	3	3
다산네트웍스	3	3
현대코퍼레이션홀딩스	3	3
레고켐바이오	3	3
선익시스템	3	3
케어랩스	3	3
현대정보기술	3	3
국동	3	3
HDC현대산업개발	3	3
페이퍼코리아	3	3
제닉	3	3
윌비스	3	3
수산중공업	3	3
신신제약	3	3
인터플렉스	3	3
오상자이엘	3	3
LG디스플레이	3	3
아남전자	3	3
DRB동일	3	3
스페코	3	3
엔지켐생명과학	3	3
솔루에타	3	3
명문제약	3	3
명성티엔에스	3	3
한탑	3	3
이아이디	3	3
우리기술	3	3
케이씨피드	3	3
엔피케이	3	3
원익QnC	3	3
유한양행	3	3
다우데이타	3	3
선진	3	3
에프앤리퍼블릭	3	3
핸디소프트	3	3
올릭스	3	3
린드먼아시아	3	3
인터파크	3	3
성안	3	3
삼기오토모티브	3	3
지엠비코리아	3	3
