,code,m_ics,w_ics,year,total_asset,lt_debt,lt_borrowing,current_asset,current_liabilities,shareholder_equity,stock_issued,intangible_asset,operating_income,extra_income,total_sales,gross_profit,cogs,cf_operation
2412,013120,종합건설,건설,2014,4334.6,104.7,9.7,4229.0,950.4,3279.5,9081.0,1.8,771.9,2.4,3400.9,882.0,2518.9,3400.9
2413,013120,종합건설,건설,2015,5460.3,120.0,8.8,5339.5,1205.2,4135.2,90808.0,0.5,1171.2,6.2,5149.7,1296.8,3852.9,5149.7
2414,013120,종합건설,건설,2016,6540.0,127.1,7.9,6383.7,1370.4,5042.6,90808.0,0.5,1311.5,-7.3,5343.9,1448.1,3895.9,5343.9
2415,023410,비금속,건축자재,2012,12210.9,613.0,436.7,6273.9,6312.2,5285.7,77163.0,368.9,-67.5,654.7,6657.5,659.7,5997.7,6657.5
2416,023410,비금속,건축자재,2013,12384.2,1505.6,1095.9,5220.6,5026.8,5851.9,77163.0,365.8,381.4,-90.1,6788.1,919.4,5868.7,6788.1
2417,023410,비금속,건축자재,2014,12423.6,2742.9,2319.4,3695.1,3933.8,5746.9,75000.0,359.5,303.6,-245.8,7390.0,972.8,6417.1,7390.0
2418,023410,비금속,건축자재,2015,13844.8,989.7,522.6,4459.6,6927.3,5927.9,74000.0,365.0,542.1,-313.5,8895.5,1202.3,7693.2,8895.5
2419,023410,비금속,건축자재,2016,15196.0,1024.9,316.8,4086.1,7691.2,6480.0,74000.0,401.8,966.9,-269.6,10746.5,1809.5,8936.9,10746.5
2420,003800,기타제조,가구,2012,3117.2,76.4,0.0,895.0,236.8,2804.0,2218.0,13.8,371.8,9.1,1784.1,891.9,892.2,1784.1
2421,003800,기타제조,가구,2013,3328.9,37.1,0.0,1569.8,235.8,3056.0,2218.0,13.1,291.8,29.1,1647.8,801.0,846.8,1647.8
2422,003800,기타제조,가구,2014,3516.6,60.5,0.0,1094.9,207.3,3248.8,2218.0,12.5,272.3,4.6,1692.6,842.8,849.8,1692.6
2423,003800,기타제조,가구,2015,3822.6,73.9,0.0,973.4,249.8,3498.9,2218.0,11.9,343.7,26.7,1927.3,1047.9,879.4,1927.3
2424,003800,기타제조,가구,2016,4046.8,86.8,0.0,910.5,250.1,3709.9,2218.0,12.5,357.9,13.3,2036.5,1135.7,900.8,2036.5
2425,035810,"음식료,담배",식품,2012,14729.3,2142.8,1130.3,6791.4,9163.0,3423.5,46980.0,751.4,274.3,80.4,15446.5,1900.2,13546.3,15446.5
2426,035810,"음식료,담배",식품,2013,14747.4,2357.9,1199.4,6621.3,8776.8,3612.8,46980.0,739.3,392.6,74.3,15045.0,2012.2,13032.7,15045.0
2427,035810,"음식료,담배",식품,2014,14944.0,2300.3,1043.1,6814.9,8969.1,3674.7,50524.0,614.0,820.8,-140.2,14808.2,2504.1,12304.0,14808.2
