,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
371,006840,2013,1,1,0,1,0,1,1,0,0,5
372,006840,2014,1,1,0,1,0,1,0,1,0,5
373,006840,2015,1,1,0,1,1,1,1,1,0,7
374,006840,2016,1,1,1,1,0,1,1,1,1,8
375,023590,2012,0,0,0,0,0,0,1,0,0,1
376,023590,2013,1,1,0,1,0,1,1,0,0,5
377,023590,2014,1,1,1,1,0,1,1,1,1,8
378,023590,2015,1,1,1,1,0,1,1,1,1,8
379,023590,2016,1,1,0,1,1,1,1,0,0,6
380,003090,2012,0,0,0,0,0,0,1,0,0,1
381,003090,2013,1,1,0,1,0,1,1,0,0,5
382,003090,2014,1,1,0,1,0,1,1,0,0,5
383,003090,2015,1,1,0,1,0,1,1,0,0,5
384,003090,2016,1,1,0,1,0,1,1,1,0,6
385,020560,2012,0,0,0,0,0,0,1,0,0,1
386,020560,2013,0,1,0,1,0,1,1,0,0,4
387,020560,2014,1,1,1,1,0,1,1,1,0,7
388,020560,2015,1,1,0,1,1,1,1,0,0,6
389,020560,2016,1,1,1,1,1,1,0,1,0,7
390,081660,2012,0,0,0,0,0,0,1,0,0,1
391,081660,2013,1,1,0,1,0,1,1,0,0,5
392,081660,2014,1,1,0,1,0,1,0,0,0,4
393,081660,2015,1,1,0,1,1,1,0,0,0,5
394,081660,2016,1,1,0,1,0,1,0,0,1,5
395,000070,2012,0,0,0,0,0,0,1,0,0,1
396,000070,2013,1,1,0,1,0,1,1,0,0,5
397,000070,2014,1,1,1,1,0,1,0,1,1,7
398,000070,2015,1,1,1,1,0,1,1,1,0,7
399,000070,2016,1,1,1,1,1,1,1,1,0,8
400,145990,2012,0,0,0,0,0,0,1,0,0,1
401,145990,2013,1,1,0,1,0,1,1,0,0,5
402,145990,2014,1,1,1,1,0,1,0,1,1,7
403,145990,2015,1,1,1,1,0,1,1,1,0,7
404,145990,2016,1,1,1,1,1,1,0,1,1,8
