,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
1809,001020,2016,0,1,1,1,1,1,0,1,1,7
1814,008970,2016,0,1,0,1,1,1,0,0,0,4
1819,084670,2016,1,1,1,1,0,1,1,1,1,8
1824,006570,2016,1,1,1,1,1,1,1,1,1,9
1829,006340,2016,1,1,0,1,1,1,1,0,0,6
1834,027740,2016,0,1,1,1,0,1,0,1,0,5
1839,017550,2016,1,1,0,1,1,1,0,1,0,6
1844,001080,2016,1,1,0,1,1,1,1,0,1,7
1849,123700,2016,1,1,0,1,1,1,1,0,0,6
1854,009070,2016,1,1,0,1,1,1,1,1,0,7
1859,133820,2016,1,1,0,1,0,1,1,1,0,6
1864,023450,2016,1,1,1,1,1,1,0,1,1,8
1869,023350,2016,1,1,1,1,1,1,1,0,1,8
1874,008870,2016,1,1,0,1,0,1,1,0,0,5
1879,014130,2016,1,1,0,1,0,1,1,0,0,5
1884,000040,2016,0,1,1,1,1,1,0,1,0,6
1889,014580,2016,1,1,1,1,0,1,1,1,1,8
1894,025820,2016,1,1,1,1,1,1,1,1,1,9
1899,010040,2016,1,1,1,1,1,1,1,1,0,8
1904,001070,2016,1,1,0,1,0,1,1,0,0,5
1909,088790,2016,1,1,1,1,0,1,1,1,1,8
1914,006880,2016,0,1,0,1,0,1,1,0,0,4
1919,006740,2016,1,1,1,1,1,1,1,1,1,9
1924,002200,2016,1,1,1,1,1,1,1,1,0,8
1929,012280,2016,1,1,0,1,0,1,1,0,0,5
1934,025530,2016,1,1,0,1,1,1,1,0,0,6
1939,002140,2016,1,1,0,1,0,1,1,1,0,6
1944,004100,2016,1,1,1,1,1,1,1,1,0,8
1949,011500,2016,1,1,1,1,0,1,1,1,1,8
1954,000910,2016,1,1,1,1,0,1,1,1,0,7
1959,001620,2016,1,1,1,1,0,1,1,1,0,7
1964,004090,2016,1,1,0,1,0,1,1,0,0,5
1969,119650,2016,1,1,1,1,1,1,0,1,1,8
1974,004830,2016,1,1,1,1,0,1,1,1,1,8
1979,014990,2016,0,1,0,1,1,1,1,0,1,6
1984,018500,2016,1,1,1,1,1,1,0,0,0,6
1989,009460,2016,1,1,1,1,0,1,1,1,1,8
1994,005360,2016,1,1,1,1,1,1,1,1,1,9
1999,000300,2016,1,1,1,1,1,1,1,1,0,8
2004,024070,2016,1,1,0,1,1,1,1,0,0,6
2009,092780,2016,1,1,0,1,1,1,0,1,0,6
2014,008420,2016,1,1,1,1,0,1,1,1,1,8
2019,007610,2016,1,1,0,1,1,1,1,0,0,6
